희망하는 진로가 무엇인가요?,희망하는 학과가 무엇인가요? (ex. 기계공학과),희망하는 진로를 선택한 이유,카톡 아이디
예체능,웹툰만화과,적성이 맞는 거 같아서,2023KMJ
인문계열 / 사회계열,경찰행정학과,적성이 맞는 거 같아서,kyuri20111005
인문계열 / 사회계열,무역학과,멋잇는 거 같아서,noogunha
인문계열 / 사회계열,역사학과,적성이 맞는 거 같아서,minolam0623
예체능,작곡과,적성이 맞는 거 같아서,qa3_n.7
공학/ 자연/ 메디컬,환경공학과,그냥,원재야ㅜ뭐하냐 나한테 카톡 이모티콘 주라 mwmw1230
공학/ 자연/ 메디컬,춤으로 배우는 법학과,적성이 맞는 거 같아서,정혜정 바보
공학/ 자연/ 메디컬,기계공학과,돈을 많이 벌고 싶어서,Guyun2010hcmc
인문계열 / 사회계열,사회학과,돈을 많이 벌고 싶어서,Hzhzhzh
인문계열 / 사회계열,사회복지학과,그냥,doona070816
교육계열,공대,돈을 많이 벌고 싶어서,Hajgk
예체능,축구선수,돈을 많이 벌고 싶어서,Djiwa
공학/ 자연/ 메디컬,의예과,돈을 많이 벌고 싶어서,금현준
공학/ 자연/ 메디컬,간호학과,그냥,김태웅
공학/ 자연/ 메디컬,항공우주공확과,적성이 맞는 거 같아서,Jiho111108
인문계열 / 사회계열,경찰행정학과,적성이 맞는 거 같아서,kyuri20111005
공학/ 자연/ 메디컬,항공운항과,돈을 많이 벌고 싶어서,Itzmeroyu
예체능,조리학과,적성이 맞는 거 같아서,Huijun1017
인문계열 / 사회계열,베트남어과/국어국문학과/일본어과,적성이 맞는 거 같아서,yu0929jin
공학/ 자연/ 메디컬,컴퓨터 공학과,돈을 많이 벌고 싶어서,111
공학/ 자연/ 메디컬,물리학과 ,멋잇는 거 같아서,구슬아
공학/ 자연/ 메디컬,간호학과 ,부모님의 추천으로,김태웅ㅇ
교육계열,역사학과 ,멋잇는 거 같아서,11
인문계열 / 사회계열,경찰행정학과 ,멋잇는 거 같아서,kimtaeung
교육계열,수학과 ,멋잇는 거 같아서,선영쌤 지망
교육계열,사회학과 ,멋잇는 거 같아서,하하
